t,1,2,3,4,time,x,y,delta_x,delta_y
0.43,119.924873061616,102.232211902355,100.60372465295,101,0.43,14.8602351660998,-24.2999869338873,-0.0421042788794,-0.007383413633001
0.44,119.932422712724,102.233823275863,100.620694833054,101,0.44,14.8181308872204,-24.3073703475203,-0.0421042788794,-0.007383413633001
0.45,119.939972363833,102.235434649372,100.637665013159,101,0.45,14.776026608341,-24.3147537611533,-0.0421042788794,-0.007383413632997
0.46,119.947522014941,102.23704602288,100.654635193264,101,0.46,14.7339223294616,-24.3221371747863,-0.0421042788794,-0.007383413633001
0.47,119.95507166605,102.238657396389,100.671605373368,101,0.47,14.6918180505822,-24.3295205884193,-0.042104278879402,-0.007383413633001
0.48,119.94949989677,102.23287400354,100.68264153841,101,0.48,14.6497137717028,-24.3369040020523,-0.0421042788794,-0.007383413633001
0.49,119.902990599566,102.204019674369,100.675164166031,101,0.49,14.6076094928234,-24.3442874156853,-0.0421042788794,-0.007383413633001
0.5,119.856481302361,102.175165345197,100.667686793653,101,0.5,14.565505213944,-24.3516708293183,-0.0421042788794,-0.007383413633001
0.51,119.809972005156,102.146311016025,100.660209421275,101,0.51,14.5868104202156,-24.3444608821495,0.021305206271601,0.0072099471688
0.52,119.763462707951,102.117456686854,100.652732048896,101,0.52,14.611452967811,-24.3364828633595,0.024642547595399,0.007978018790002
0.53,119.716953410747,102.088602357682,100.645254676518,101,0.53,14.6360955154064,-24.3285048445695,0.0246425475954,0.007978018789998
0.54,119.724980387103,102.099469798866,100.638672252346,101,0.54,14.6607380630018,-24.3205268257795,0.0246425475954,0.007978018790002
0.55,119.736793172304,102.113094653048,100.632151953849,101,0.55,14.6853806105972,-24.3125488069895,0.0246425475954,0.007978018789998
0.56,119.748605957506,102.12671950723,100.625631655352,101,0.56,14.7100231581925,-24.3045707881995,0.024642547595301,0.007978018790002
0.57,119.760418742708,102.140344361412,100.619111356855,101,0.57,14.7346657057879,-24.2965927694095,0.0246425475954,0.007978018789998
